20240325	21:45:44	03db1f2a-fc4a-418c-bb39-4452ca3a05ce	Error	Not allowed by origin	OPTIONS	/	https://www.google.com
20240325	21:45:44	09ef41e5-a099-4470-b4bc-f7b79a4f094f	Error	Not allowed by origin	GET	/	https://www.google.com
20240326	15:25:31	b0300ad5-cee3-4614-b35a-50f2c4811b77	TypeError	req.send is not a function	GET	/users	undefined
20240326	15:25:39	25c07022-1fa4-49cf-ab8f-8852d7972dc7	TypeError	req.send is not a function	GET	/users	undefined
20240328	11:53:14	06fc3157-5f5d-4d59-acf2-8eed7608b98b	ReferenceError	id is not defined	PATCH	/users	undefined
20240328	11:53:30	151581a0-5f6a-4c17-a674-f5ae30a32d1f	ReferenceError	id is not defined	PATCH	/users	undefined
20240328	11:58:34	c6a40137-4fdb-4be7-9eb6-f26ffde6154a	SyntaxError	Expected ',' or '}' after property value in JSON at position 97	PATCH	/users	undefined
20240328	11:58:46	86f2278e-ff48-46ec-a313-a515309b500f	SyntaxError	Expected ',' or '}' after property value in JSON at position 97	PATCH	/users	undefined
20240328	12:23:14	7347cd07-bd24-471b-8480-3461eff26fcc	SyntaxError	Expected double-quoted property name in JSON at position 45	DELETE	/users	undefined
20240328	19:19:00	c0a9555b-4b34-4dea-868f-4fc73e4785e6	SyntaxError	Unexpected non-whitespace character after JSON at position 292	PATCH	/notes	undefined
20240328	19:34:35	3a4b7909-92f0-42b1-b832-ea2fe435cf5b	Error	Cannot set headers after they are sent to the client	DELETE	/notes	undefined
20240328	19:35:00	d962e158-ec47-443b-b7db-288c286ce37a	Error	Cannot set headers after they are sent to the client	DELETE	/notes	undefined
20240328	19:36:05	24cc9ab5-d369-4b99-9106-362edaeb3615	Error	Cannot set headers after they are sent to the client	DELETE	/notes	undefined
20240328	19:55:25	d543421e-a1b8-486a-add4-f396356560de	CastError	Cast to ObjectId failed for value "10" (type string) at path "_id" for model "Note"	GET	/notes/10	undefined
